step,GS_21441737_queue,GS_21441737_wait_time,GS_25954547_queue,GS_25954547_wait_time,GS_26752062_queue,GS_26752062_wait_time,GS_26753059_queue,GS_26753059_wait_time,GS_659394041_queue,GS_659394041_wait_time,cluster_262476527_26871569_311718989_3836987635_#3more_queue,cluster_262476527_26871569_311718989_3836987635_#3more_wait_time
0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
19,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
21,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
24,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
26,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
27,1,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
28,1,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
29,1,4.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
30,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
31,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
32,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
34,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
36,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
37,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
